MovieID,Title,YearReleased
1,10 Rillington Place,1971-01-29 00:00:00.0000000
2,American Psycho,2000-04-14 00:00:00.0000000
3,Badlands,1974-01-05 00:00:00.0000000
4,Chicago Massacre: Richard Speck,2007-06-05 00:00:00.0000000
5,Conversations With a Killer: The Ted Bundy Tapes,2019-01-24 00:00:00.0000000
6,Dahmer,2003-03-13 00:00:00.0000000
7,Eaten Alive,1977-05-13 00:00:00.0000000
8,Ed Gein,2001-07-20 00:00:00.0000000
9,"Extremely Wicked, Shockingly Evil and Vile",2019-05-03 00:00:00.0000000
10,From Hell,2001-10-19 00:00:00.0000000
11,Gacy,2003-05-13 00:00:00.0000000
12,Green River Killer,2006-01-03 00:00:00.0000000
13,Halloween,1978-10-27 00:00:00.0000000
14,Henry: Portrait of A Serial Killer,1990-09-07 00:00:00.0000000
15,Kalifornia,1993-09-03 00:00:00.0000000
16,Killer: A Journal of Murder,1996-09-06 00:00:00.0000000
17,Monster,2003-01-30 00:00:00.0000000
18,My Friend Dahmer,2018-03-02 00:00:00.0000000
19,Natural Born Killers,1994-08-26 00:00:00.0000000
20,Out of the Darkness,1985-10-12 00:00:00.0000000
21,Psycho,1998-12-04 00:00:00.0000000
22,Rampage,1992-10-30 00:00:00.0000000
23,Red Dragon,2002-10-04 00:00:00.0000000
24,Scream,1996-12-20 00:00:00.0000000
25,Speck,2002-10-01 00:00:00.0000000
26,Summer of Sam,1999-07-02 00:00:00.0000000
27,The Boston Strangler ,1968-10-16 00:00:00.0000000
28,The Dating Game Killer ,2017-12-03 00:00:00.0000000
29,The Deliberate Stranger,1968-05-04 00:00:00.0000000
30,The Frozen Ground,2013-02-01 00:00:00.0000000
31,The Gray Man,2007-08-31 00:00:00.0000000
32,The Honeymoon Killers,1970-02-04 00:00:00.0000000
33,The Hunt For The BTK Killer,2005-10-09 00:00:00.0000000
34,The Iceman,2013-05-02 00:00:00.0000000
35,The Night Stalker,2016-06-12 00:00:00.0000000
36,The Silence of the Lambs,1991-02-14 00:00:00.0000000
37,The Strangers,2008-05-30 00:00:00.0000000
38,The Texas Chainsaw Massacre,2003-10-17 00:00:00.0000000
39,The Town that Dreaded Sundown,1976-12-24 00:00:00.0000000
40,To Catch a Killer,1992-05-15 00:00:00.0000000
41,Who Killed Atlanta's Children?,2000-07-16 00:00:00.0000000
42,Wolf Creek ,2005-12-25 00:00:00.0000000
43,Zodiac,2007-03-02 00:00:00.0000000
