SongID,Movie,Song,Artist
1,10 Rillington Place,NONE,NULL
2,American Psycho,True Faith ,New Order 
3,American Psycho,Walking on Sunshine ,Katrina and the Waves
4,American Psycho,Simply Irresistible ,Robert Palmer 
5,American Psycho,I Touch Roses ,Book of Love 
6,American Psycho,Hip to Be Square ,Huey Lewis & The News 
7,American Psycho,Lady in Red ,Chris De Burgh 
8,American Psycho,In Too Deep ,Genesis 
9,American Psycho,Sussudio,Phil Collins 
10,American Psycho,What's On Your Mind? (Pure Energy) ,Information Society 
11,American Psycho,The Greatest Love Of All ,London Philharmonic Orchestra
12,American Psycho,Paid In Full (Coldcut Remix) ,Eric B. & Rakim 
13,American Psycho,Music for 18 Synths ,Sheldon Steiger 
14,American Psycho,Secreil Nicht ,The Mediaeval Baebes
15,American Psycho,Everlasting Love ,NULL
16,American Psycho,Deck the Halls ,NULL
17,American Psycho,Joy to the World ,NULL
18,American Psycho,Ya Llegaron A La Luna ,Santiago Jiménez Jr. 
19,American Psycho,Cuatro Milpas ,Francisco Gonzalez 
20,American Psycho,Suicide ,John Cale 
21,American Psycho,If You Don't Know MeNow ,Simply Red 
22,American Psycho,Pump Up the Volume ,Marrs 
23,American Psycho,Red Lights ,Curiosity Killed the Cat
24,American Psycho,Try to Dismember ,Mj Mynarski 
25,American Psycho,Trouble,Daniel Ash 
26,Badlands,Trois Morceaux En Forme De Poire,Erik Satie
27,Badlands,Musica Poetica ,Carl Orff:
28,Badlands,LOVE IS STRANGE,Mickey Baker & Sylvia Robinson
29,Badlands,A BLOSSOM FELL,Nat 'King
30,Badlands,Gassenhauer,Carl Orff:
31,Badlands,Passion,Carl Orff:
32,Badlands,Die grauen Weiber,Carl Orff:
33,Badlands,Mariae Geburt,Carl Orff:
34,Badlands,Musik zu einem Puppenspiel,Gunild Keetman
35,Badlands,Xylophonstucke,Gunild Keetman
36,Chicago Massacre: Richard Speck,NONE,NULL
37,Conversations With a Killer: The Ted Bundy Tapes,NONE,NULL
38,Dahmer,Just out of Reach ,Patsy Cline 
39,Dahmer,Take a Picture ,Trailer Park Avenue
40,Dahmer,Keep on Doin' Your Thing ,Jean Wells 
41,Dahmer,I Love Payback ,Mr. Payback 
42,Dahmer,Vinyl & Polyester ,DJ Phenix
43,Dahmer,You're Movin' Me,Clyde McPhatter
44,Dahmer,Rubber Aliens ,DJ Phenix
45,Dahmer,Ring My Bell ,Anita Ward 
46,Dahmer,More More More ,Andrea True Connection 
47,Dahmer,Clubland,Audio Ninja & Dr. Alex Tsisserev
48,Dahmer,Tallahassee Lassie ,Freddie Cannon
49,Dahmer,Architect of Light ,A Brand New Brand Of Energy 
50,Dahmer,Every Beat of My Heart ,Gladys Knight & The Pips 
51,Dahmer,So Close to Being in Love ,Clyde McPhatter 
52,Eaten Alive,NONE,NULL
53,Ed Gein,Selfish Heart ,Ed Maxwell and Joel Sigerson 
54,Ed Gein,Why Can't ,Ed Maxwell and Joel Sigerson 
55,Ed Gein,Rainbow ,Shark 'n The Smoke 
56,"Extremely Wicked, Shockingly Evil and Vile",Do You Believe In Magic?,THE LOVIN' SPOONFUL
57,"Extremely Wicked, Shockingly Evil and Vile",Crimson and Clover,TOMMY JAMES
58,"Extremely Wicked, Shockingly Evil and Vile",Thousand Watt Work-Out,JOHN MORAN
59,"Extremely Wicked, Shockingly Evil and Vile",We'll Face This World Together,TOMMY SMITH BAND
60,"Extremely Wicked, Shockingly Evil and Vile","Symphony No. 9 in D minor, Op. 125, Choral: II. Molto vivace","ZAGREB PHILHARMONIC ORCHESTRA, RICHARD EDLINGER"
61,"Extremely Wicked, Shockingly Evil and Vile",I Gotcha,JOE TEX
62,"Extremely Wicked, Shockingly Evil and Vile",Lucky Man (2012 Remastered Version),"EMERSON, LAKE & PALMER"
63,"Extremely Wicked, Shockingly Evil and Vile",The Letter,THE BOX TOPS
64,"Extremely Wicked, Shockingly Evil and Vile",Looking For The Answer,THE ELDERS
65,"Extremely Wicked, Shockingly Evil and Vile",Don't Leave Me This Way,THELMA HOUSTON
66,"Extremely Wicked, Shockingly Evil and Vile",The Four Horsemen,METALLICA
67,"Extremely Wicked, Shockingly Evil and Vile",Media Circus,WENDY BLACKSTONE
68,"Extremely Wicked, Shockingly Evil and Vile",Soda Sex,WENDY BLACKSTONE
69,"Extremely Wicked, Shockingly Evil and Vile",Orfeo's Waltz,TRISTAN BELTRAMI
70,"Extremely Wicked, Shockingly Evil and Vile",The Truth (Queen of the Night),MARCO BELTRAMI
71,"Extremely Wicked, Shockingly Evil and Vile",News Scene,"MARCO BELTRAMI, DENNIS SMITH"
72,From Hell,The Nobodies – Wormwood Remix,Marilyn Manson
73,From Hell,In Memoriam,Trevor Jones
74,From Hell,Royal Connections,Trevor Jones
75,From Hell,A Sprig of Red Grapes,Trevor Jones
76,From Hell,Whitechapel Murders,Trevor Jones
77,From Hell,Chasing the Dragon,Trevor Jones
78,From Hell,Portrait of a Prince,Trevor Jones
79,From Hell,The Compass and the Ruler,Trevor Jones
80,From Hell,Marylebone Workhouse,Trevor Jones
81,From Hell,Investigation,Trevor Jones
82,From Hell,Death Coach,Trevor Jones
83,From Hell,Pennies for the Ferryman,Trevor Jones
84,From Hell,Bow Bell (Absinthium),Trevor Jones
85,Gacy,Get Your Own,Erik Godal
86,Gacy,Everythings Big in Texas,Erik Godal
87,Gacy,Run Rabbit,Erik Godal
88,Gacy,Julie Dances,Erik Godal
89,Gacy,Des'ree,Erik Godal
90,Gacy,Get Your Own,Erik Godal
91,Gacy,Camera,Erik Godal
92,Gacy,I'm Moving On,Mark Fontana
93,Gacy,Get Your Own,Mark Fontana
94,Gacy,Julie Dances,Sleeping Dogs
95,Gacy,Can't Keep your Body Off My Mind,Rumble Bees:
96,Gacy,Get Your Own,Riviera '64
97,Green River Killer,NONE,NULL
98,Halloween,Halloween Theme – Main Title,John Carpenter
99,Halloween,Laurie's Theme,John Carpenter
100,Halloween,Shape Escapes,John Carpenter
101,Halloween,Myers' House,John Carpenter
102,Halloween,Michael Kills Judith,John Carpenter
103,Halloween,Loomis and Shape's Car,John Carpenter
104,Halloween,The Haunted House,John Carpenter
105,Halloween,The Shape Lurks,John Carpenter
106,Halloween,Laurie Knows,John Carpenter
107,Halloween,Better Check the Kids,John Carpenter
108,Halloween,The Shape Stalks,John Carpenter
109,Henry: Portrait of A Serial Killer,Too Old for These Blues ,Kid Tater and The Cheaters 
110,Henry: Portrait of A Serial Killer,LeLania,Kid Tater and The Cheaters 
111,Henry: Portrait of A Serial Killer,Lavalite Waltz ,Dan Haberkorn 
112,Henry: Portrait of A Serial Killer,Waiting in the Garden ,Brisance
113,Henry: Portrait of A Serial Killer,Fingers on It ,Enough Z'Nuff
114,Henry: Portrait of A Serial Killer,Callin' Colleen ,Kid Tater and The Cheaters 
115,Henry: Portrait of A Serial Killer,Don't You Know ,Fawn
116,Henry: Portrait of A Serial Killer,Jukin,Kid Tater and The Cheaters 
117,Henry: Portrait of A Serial Killer,There's Another Girl ,Kid Tater and The Cheaters 
118,Henry: Portrait of A Serial Killer,Psycho,The Sonics 
119,Henry: Portrait of A Serial Killer,Morning Dew ,Fawn
120,Henry: Portrait of A Serial Killer,My Mistake ,Lynne and the Lizards 
121,Henry: Portrait of A Serial Killer,No Father in the Family ,E.I.E.I.O. 
